Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,ylabel
1,Flood,1,159,159,159,139,347.13,2
1,Flood,0,179,298,298,298,222.9041,2
2,Famine,0,199,259,379,219,134.6124,1
1,Flood,0,139,258,258,139,167.3955,2
1,Famine,1,99,139,139,99,119.3838,0
2,Flood,0,298,99,238,80,36.4726,2
1,Famine,0,80,80,80,119,500.536,1
2,Flood,0,238,199,338,298,198.8932,2
1,Flood,1,199,219,219,279,125.4402,2
1,Flood,0,159,99,99,99,253.1897,2
1,Flood,1,239,199,199,139,153.2359,2
1,Hurricane,0,338,99,99,219,90.3244,1
1,Famine,0,119,238,238,219,104.0048,1
2,Famine,1,139,80,179,199,210.4335,1
1,Flood,0,0,139,139,139,557.2293,2
1,Famine,1,219,239,239,199,115.1271,1
1,Famine,1,179,99,99,258,231.0779,1
2,Flood,1,119,219,478,99,204.128,2
1,Famine,1,199,139,139,139,140.8918,1
1,Hurricane,1,179,219,219,199,103.5978,1
2,Famine,0,100,119,238,139,265.8745,0
2,Famine,0,119,99,198,139,156.205,1
1,Famine,1,139,139,139,99,212.8673,1
1,Flood,1,139,100,100,159,559.2435,2
1,Famine,0,99,259,259,119,734.0497,1
1,Flood,0,219,119,119,119,209.8553,2
1,Famine,0,99,139,139,99,427.0354,0
1,Hurricane,1,219,119,119,179,317.5661,1
1,Famine,0,219,139,139,159,260.5,0
1,Hurricane,1,199,199,199,319,80.6505,1
1,Flood,1,139,278,278,159,83.4416,2
1,Famine,0,139,159,159,139,57.5196,0
1,Famine,0,99,159,159,238,433.6465,1
1,Famine,1,258,99,99,139,114.2804,0
1,Famine,1,99,179,179,99,27.2029,1
2,Famine,0,99,139,258,159,320.8415,0
1,Famine,0,99,99,99,179,89.8846,1
1,Famine,1,139,199,199,139,567.5731,0
1,Famine,0,0,80,80,80,0,1
1,Famine,0,80,179,179,100,83.6675,1
1,Famine,1,139,179,179,139,264.4844,0
1,Flood,1,100,179,179,179,226.0669,2
1,Famine,0,159,199,199,139,133.5758,1
1,Famine,1,438,139,139,299,273.2018,1
1,Flood,0,258,139,139,100,186.0168,2
1,Famine,0,80,139,139,179,119.8593,1
1,Famine,0,119,139,139,99,180.6557,0
1,Famine,1,179,458,458,518,194.1604,0
2,Famine,0,179,338,477,219,193.0648,1
1,Hurricane,1,478,219,219,299,129.7575,1
1,Famine,0,139,139,139,199,258.2344,0
1,Famine,0,159,139,139,139,138.7921,0
1,Famine,0,219,139,139,259,140.9699,0
1,Famine,1,139,159,159,139,88.4096,0
1,Flood,0,80,119,119,159,98.5723,2
1,Famine,0,298,139,139,179,223.1098,0
2,Flood,0,139,159,278,99,711.0345,2
2,Flood,0,278,219,358,159,123.6012,2
1,Famine,0,139,179,179,179,115.8285,0
1,Famine,0,219,80,80,159,131.344,1
1,Famine,0,80,119,119,119,466.623,1
1,Famine,0,258,139,139,139,139.6755,0
1,Famine,0,99,179,179,139,81.5751,1
1,Famine,1,99,80,80,139,855.5298,0
2,Hurricane,1,179,199,338,179,168.1458,1
1,Hurricane,1,279,419,419,319,104.3935,1
1,Famine,1,359,359,359,259,98.0816,0
2,Famine,1,80,119,358,80,462.4722,0
1,Famine,0,179,80,80,159,61.8971,1
1,Hurricane,1,179,179,179,219,230.895,0
1,Hurricane,1,179,139,139,179,143.1861,1
2,Flood,1,119,139,378,179,709.5853,2
1,Famine,0,139,179,179,179,87.57,0
1,Flood,1,99,99,99,80,182.7108,2
1,Famine,0,159,259,259,179,495.0253,1
1,Flood,0,239,199,199,199,129.0155,2
1,Famine,1,159,179,179,239,192.0059,1
1,Famine,0,199,139,139,139,101.4027,1
1,Flood,1,139,338,338,159,204.5507,2
1,Famine,0,99,179,179,100,342.646,0
1,Famine,0,199,99,99,159,118.9758,1
1,Flood,1,119,179,179,199,229.7129,2
2,Flood,0,199,239,418,179,89.5335,2
1,Famine,0,139,159,159,99,470.1205,1
1,Hurricane,0,139,80,80,238,140.4315,0
1,Famine,0,80,159,159,139,216.5092,1
1,Famine,0,139,139,139,80,105.5616,1
1,Hurricane,1,179,259,259,179,296.0511,0
1,Famine,0,179,258,258,239,249.3657,0
1,Hurricane,1,99,159,159,119,202.5056,1
3,Hurricane,1,199,199,457,179,286.0358,0
1,Famine,0,119,80,80,119,60.92,1
1,Flood,0,179,139,139,99,322.0749,2
2,Flood,0,80,80,199,99,351.4616,2
1,Famine,1,179,179,179,219,830.1581,1
1,Famine,0,159,199,199,80,177.9396,0
1,Famine,1,179,139,139,99,72.6722,1
2,Famine,0,119,99,318,139,470.5159,0
1,Hurricane,0,139,80,80,119,161.3978,1
1,Hurricane,1,139,199,199,80,256.0176,0
1,Famine,0,120,259,259,180,387.3296,1
1,Famine,0,279,299,299,199,202.1417,0
1,Famine,0,139,199,199,318,425.2064,0
1,Famine,0,80,139,139,80,642.9483,0
1,Famine,0,0,179,179,99,337.0059,1
